Company_Name,Skills,location,more_info
APPLYCUPHIRINGSOLUTIONSLLP,"graphicdesigning,graphicdesigner,animation",Mumbai,https://www.timesjobs.com/job-detail/graphic-designer-applycup-hiring-solutions-llp-mumbai-3-to-8-yrs-jobid-xCMCEMkYZCFzpSvf__PLUS__uAgZw==&source=srp
LifeProductions,"graphicdesigning,designer,graphicdesigning",Kolkata,https://www.timesjobs.com/job-detail/graphic-designer-life-productions-kolkata-0-to-3-yrs-jobid-h3RrNqBLrqxzpSvf__PLUS__uAgZw==&source=srp
APPLYCUPHIRINGSOLUTIONSLLP,"newsletters,graphicdesigning,graphicdesigner",Noida/Greater Noida,https://www.timesjobs.com/job-detail/graphic-designer-applycup-hiring-solutions-llp-noida-greater-noida-1-to-4-yrs-jobid-S2M9SCZY4txzpSvf__PLUS__uAgZw==&source=srp
APPLYCUPHIRINGSOLUTIONSLLP,"graphicdesigning,photoshop,graphicdesigner",Chennai,https://www.timesjobs.com/job-detail/graphic-designer-applycup-hiring-solutions-llp-chennai-1-to-4-yrs-jobid-FP__PLUS__23UDzb0BzpSvf__PLUS__uAgZw==&source=srp
rudrasoftech,"typography,graphicdesigning,composition,graphics,designer",Ahmedabad,https://www.timesjobs.com/job-detail/graphics-designer-rudra-softech-ahmedabad-2-to-5-yrs-jobid-7igGpvfZ0odzpSvf__PLUS__uAgZw==&source=srp
IndiITSolutions,"dreamweaver,photoshop,graphics,designer,graphicdesigner,indesign,graphicdesigning,illustrator",Chandigarh,https://www.timesjobs.com/job-detail/graphics-designer-indi-it-solutions-chandigarh-2-to-5-yrs-jobid-2oprYD1QUHpzpSvf__PLUS__uAgZw==&source=srp
APPLYCUPHIRINGSOLUTIONSLLP,"brochures,graphicdesigning,photoshop,graphicdesigner,illustrator","Delhi,  Delhi/NCR",https://www.timesjobs.com/job-detail/graphic-designer-applycup-hiring-solutions-llp-delhi-delhi-ncr-2-to-3-yrs-jobid-vjU__SLASH__alKaKg5zpSvf__PLUS__uAgZw==&source=srp
VM3TechSolutionsLLP,"graphicdesigning,photoshop,graphics,designer,graphicdesigner,illustrator",Pune,https://www.timesjobs.com/job-detail/graphics-designer-vm3-tech-solutions-llp-pune-0-to-3-yrs-jobid-6xaDbAv37EtzpSvf__PLUS__uAgZw==&source=srp
IBNTechnologiesPvtLtd,"website,photoshop,graphics,designer,graphicdesigning",Pune,https://www.timesjobs.com/job-detail/graphics-designer-ibn-technologies-pvt-ltd-pune-1-to-4-yrs-jobid-GjfMqRQnORVzpSvf__PLUS__uAgZw==&source=srp
APPLYCUPHIRINGSOLUTIONSLLP,"graphicdesigning,graphics,graphicdesigner,animation",Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/graphic-designer-applycup-hiring-solutions-llp-bengaluru-bangalore-1-to-4-yrs-jobid-5OwuTv8rFZBzpSvf__PLUS__uAgZw==&source=srp
APPLYCUPHIRINGSOLUTIONSLLP,"imageediting,graphics,designer,graphicdesigner,designing",Surat,https://www.timesjobs.com/job-detail/graphics-designer-applycup-hiring-solutions-llp-surat-0-to-2-yrs-jobid-9eld9NPBgQ1zpSvf__PLUS__uAgZw==&source=srp
acedezines,"dreamweaver,graphicdesigning,photoshop,graphicdesigner,illustrator",Hyderabad/Secunderabad,https://www.timesjobs.com/job-detail/graphic-designer-acedezines-hyderabad-secunderabad-2-to-7-yrs-jobid-yonDcq6GLxBzpSvf__PLUS__uAgZw==&source=srp
CLASSICADVERTISINGGROUP,"graphicdesigning,mobile,photoshop,graphicdesigner,designing",Ghaziabad,https://www.timesjobs.com/job-detail/graphic-designer-classic-advertising-group-ghaziabad-3-to-5-yrs-jobid-nUzAlzdZo__PLUS__BzpSvf__PLUS__uAgZw==&source=srp
InnovateTechVentures,"typography,graphics,graphicdesigner",,https://www.timesjobs.com/job-detail/graphic-designer-innovatetech-ventures-1-to-4-yrs-jobid-eTxhZKSNMldzpSvf__PLUS__uAgZw==&source=srp
isarvangp.ltd.,"dreamweaver,photoshop,graphics,designing,graphicdesigning,illustrator",Raipur,https://www.timesjobs.com/job-detail/graphic-designer-isarvang-p-ltd-raipur-1-to-3-yrs-jobid-ZKiRY7prNhhzpSvf__PLUS__uAgZw==&source=srp
codeyiizensoftware&servicespvtltd.,"dreamweaver,graphicdesigning,photoshop,graphics,designer,illustrator",Delhi,https://www.timesjobs.com/job-detail/graphics-designer-codeyiizen-software-services-pvt-ltd-delhi-0-to-2-yrs-jobid-Or53VYjWoN5zpSvf__PLUS__uAgZw==&source=srp
Webware.io,"website,director,photoshop,graphicdesigner,graphicdesigning",Panjim/Panaji,https://www.timesjobs.com/job-detail/graphic-designer-webware-io-panjim-panaji-1-to-3-yrs-jobid-3K6hVh5VfL1zpSvf__PLUS__uAgZw==&source=srp
dupleitsolutions,"dreamweaver,photoshop,graphics,designer,graphicdesigner,indesign,graphicdesigning,illustrator",Ambala,https://www.timesjobs.com/job-detail/graphics-designer-duple-it-solutions-ambala-2-to-5-yrs-jobid-BlAnXJ3gDttzpSvf__PLUS__uAgZw==&source=srp
TandAHRSolutions,"graphicdesigning,photoshop,graphicdesigner,illustrator",Chandigarh,https://www.timesjobs.com/job-detail/graphic-designer-tanda-hr-solutions-chandigarh-2-to-5-yrs-jobid-bnOI__PLUS__RrvY__PLUS__xzpSvf__PLUS__uAgZw==&source=srp
Light&MagicPhotography,"brochures,graphicdesigner,designing",Mumbai,https://www.timesjobs.com/job-detail/graphic-designer-light-magic-photography-mumbai-0-to-3-yrs-jobid-In4vGzIfVEZzpSvf__PLUS__uAgZw==&source=srp
PureTechCodexPrivateLimited,"rest,python,database,django,debugging,mongodb",Pune,https://www.timesjobs.com/job-detail/python-pure-tech-codex-private-limited-pune-2-to-3-yrs-jobid-OHwfF0d6EhNzpSvf__PLUS__uAgZw==&source=srp
SuryaInformaticsSolutionsPvt.Ltd.,"python,webtechnologies,linux,mobile,mysql,angularjs,javascript",Chennai,https://www.timesjobs.com/job-detail/python-surya-informatics-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-UVlLes58wutzpSvf__PLUS__uAgZw==&source=srp
GeminiSolutions,"python,mobile,svn,nosql,pythonscripting,git,api,sqldatabase",Gurgaon,https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-solutions-gurgaon-4-to-7-yrs-jobid-eGMLzwOk2QlzpSvf__PLUS__uAgZw==&source=srp
AngelandGenie,"python,docker,messaging,pythonscripting",Pune,https://www.timesjobs.com/job-detail/python-developers-angel-and-genie-pune-4-to-7-yrs-jobid-RdTRi__PLUS__3E__SLASH__bpzpSvf__PLUS__uAgZw==&source=srp
eastindiasecuritiesltd.,"python,hadoop,machinelearning",Kolkata,https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
hkinfosoft,"python,django,,framework",Ahmedabad,https://www.timesjobs.com/job-detail/python-developer-hk-infosoft-ahmedabad-2-to-3-yrs-jobid-qPkmbRWxs5dzpSvf__PLUS__uAgZw==&source=srp
LAKSHHUMANRESOURCE,"rest,python,django,git",Mumbai,https://www.timesjobs.com/job-detail/python-developer-laksh-human-resource-mumbai-1-to-3-yrs-jobid-Bo79FYBR7__SLASH__5zpSvf__PLUS__uAgZw==&source=srp
BRICKREDTECHNOLOGIESPVT.LTD.,"imageprocessing,python,opencv",,https://www.timesjobs.com/job-detail/python-developer-brickred-technologies-pvt-ltd-0-to-3-yrs-jobid-gFvdvfbX1XdzpSvf__PLUS__uAgZw==&source=srp
BRICKREDTECHNOLOGIESPVT.LTD.,"imageprocessing,python,opencv",,https://www.timesjobs.com/job-detail/python-developer-brickred-technologies-pvt-ltd-0-to-3-yrs-jobid-p9__SLASH__whk__PLUS____PLUS__Ie1zpSvf__PLUS__uAgZw==&source=srp
BRICKREDTECHNOLOGIESPVT.LTD.,"imageprocessing,python,opencv",,https://www.timesjobs.com/job-detail/python-developer-brickred-technologies-pvt-ltd-0-to-3-yrs-jobid-LHhOOHnAobhzpSvf__PLUS__uAgZw==&source=srp
PerfiosSoftwareSolutionsPvt.Ltd.,"python,java,scala",Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/python-developer-perfios-software-solutions-pvt-ltd-bengaluru-bangalore-5-to-8-yrs-jobid-vxzXapFfNqVzpSvf__PLUS__uAgZw==&source=srp
JobsLoConsultants,"python,linux,windows,sql",Indore,https://www.timesjobs.com/job-detail/python-developer-jobslo-consultants-indore-2-to-3-yrs-jobid-XP1detWpoa5zpSvf__PLUS__uAgZw==&source=srp
APPLYCUPHIRINGSOLUTIONSLLP,"python,webtechnologies,webtechnologies",Pune,https://www.timesjobs.com/job-detail/python-trainer-applycup-hiring-solutions-llp-pune-4-to-6-yrs-jobid-3V1Biww1YVJzpSvf__PLUS__uAgZw==&source=srp
AtoZInfowayLLP,"python,django,html5,javascript",Surat,https://www.timesjobs.com/job-detail/python-developer-atoz-infoway-llp-surat-2-to-5-yrs-jobid-bqowTHtXWfhzpSvf__PLUS__uAgZw==&source=srp
APPLYCUPHIRINGSOLUTIONSLLP,"python,django,html5,javascript","Gurgaon,  Delhi,  Delhi/NCR",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-gurgaon-delhi-delhi-ncr-2-to-15-yrs-jobid-FHYQtX1BOyxzpSvf__PLUS__uAgZw==&source=srp
APPLYCUPHIRINGSOLUTIONSLLP,"python,django,html5,javascript",Gandhinagar,https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-gandhinagar-2-to-4-yrs-jobid-t8Ti7DllljpzpSvf__PLUS__uAgZw==&source=srp
zengatv,"python,django,html5,javascript",Gurgaon,https://www.timesjobs.com/job-detail/python-developer-zenga-tv-gurgaon-2-to-5-yrs-jobid-__PLUS__GAu6f5FqwdzpSvf__PLUS__uAgZw==&source=srp
